valor,absoluta,relativa
.,29,0.145
CHOQUE_SEPTICO_FOCO_PULMONAR,25,0.125
CHOQUE_SEPTICO_PULMONAR,13,0.065
CHOQUE_SEPTICO_ABDOMINAL,9,0.045
SEPSE_FOCO_PULMONAR,6,0.03
CHOQUE_SEPTICO_FOCO_ABDOMINAL,6,0.03
DPOC_EXACERBADO,6,0.03
INSUFICIENCIA_RESPIRATORIA_AGUDA,5,0.025
CHOQUE_CARDIOGENICO,5,0.025
ACIDENTE_VASCULAR_CEREBRAL_ISQUEMICO,4,0.02
CHOQUE_SEPTICO_FOCO_URINARIO,4,0.02
ACIDENTE_VASCULAR_ENCEFALICO_ISQUEMICO,4,0.02
CHOQUE_SEPTICO_NE,3,0.015
CHOQUE_SEPTICO,3,0.015
INSUFICIENCIA_CARDIACA,3,0.015
MORTE_ENCEFALICA,3,0.015
TROMBOEMBOLISMO_PULMONAR,3,0.015
CHOQUE_SEPTICO_FOCO_ABDOMINAL ,3,0.015
CHOQUE_SEPTICO_DE_FOCO_PULMONAR,2,0.01
NAO,2,0.01
SEPSE_PARTES_MOLES,2,0.01
CHOQUE_HIPOVOLEMICO,2,0.01
ACIDOSE_METABOLICA,2,0.01
CHOQUE_CARDIOGENIO_SEPTICO_PULMONAR,2,0.01
CHOQUE_SEPTICO_PARTES_MOLES,2,0.01
PNEUMONIA_NE,2,0.01
CHOQUE_SEPTICO_DE_FOCO_ABDOMINAL,1,0.005
CHOQUE-SEPTICO_DE_FOCO_PULMONAR,1,0.005
CHOQUE_HEMORRAGICO,1,0.005
DOENÇA_RENAL_EM_ESTADIO_FINAL,1,0.005
INSUFICIENCIA_CARDIACA_CONGESTIVA,1,0.005
INSUFICIENCIA_RESPIRATORIA_AGUDA_EAP,1,0.005
DISFUNCAO_RENAL_AGUDA,1,0.005
ENCEFALOPATIA_HEPATICA,1,0.005
CHOQUE_SEPTICO_FOCO_URINARIO_DRC,1,0.005
CHOQUE_SEPTICO_FOCO_PULMONAR ,1,0.005
SEPSE_FOCO_ABDOMINAL,1,0.005
CHOQUE_SEPTICO_PELE_PARTES_MOLES,1,0.005
TAMPONAMENTO_CARDIACO,1,0.005
EDEMA_AGUDO_DE_PULMAO,1,0.005
INSUFICIENCIA_RENAL_NE,1,0.005
INSUFICIENCIA_RENAL_AGUDA,1,0.005
CHOQUE_SEPTICO_PULMONAR_CHOQUE_CARDIOGENICO,1,0.005
CHOQUE_SEPTICO_MISTO_ABDMINAL_PULMONAR,1,0.005
CIRROSE_HEPATICA_ALCOLICA,1,0.005
HEMORRAGIA_DIGESTIVA_ALTA,1,0.005
SEPESE_FOCO_URINARIO,1,0.005
PNEUMONIA_ASPIRATIVA,1,0.005
ASMA_GRAVE,1,0.005
SEPSE_DE_FOCO_ABDOMINAL,1,0.005
SEPSE_FOCO_PULMONAR_E_ABDOMINAL,1,0.005
SEPSE_DE_FOCO_PULMONAR,1,0.005
ACIDENTE_VASCULAR_ENCEFALICO_HEMORRAGICO ,1,0.005
PNEUMONIA,1,0.005
INSUFICIENCIA_RENAL ,1,0.005
CHOQUE_CARDIOGENICO_E_SEPTICO ,1,0.005
. ,1,0.005
CHOQUE_HIPOVOLÊMICO,1,0.005
HIPOXEMIA,1,0.005
IAM_CSST,1,0.005
CHOQUE_SEPTICO_FOCO_PULMONAR_E_ABDOMINAL,1,0.005
CHOQUE_SEPTICO_ABDOMINAL ,1,0.005
PERITONITE,1,0.005
NAO ,1,0.005
INFARTO_AGUDO_DO_MIOCARDIO_FULMINANTE,1,0.005
IC_DESCOMPENSADA,1,0.005
CHOQUE_MISTO_CARDIOGENICO_SEPTICO,1,0.005
ACIDENTE_VASCULAR_CEREBRAL_ISQUEMICO_FORA_DE_JANELA,1,0.005
DPOC_EXACERBADO ,1,0.005
CHOQUE_MISTO_CARDIOGENICO_SEPTICO_FOCO_URINARIO,1,0.005
HEMORRAGIA_DIGESTIVA_BAIXA,1,0.005
CHOQUE_SEPTICO_FOCO_ABDOMINAL_INSUFICIENCIA_RENAL,1,0.005
ABOME_AGUDO,1,0.005
CHOQUE_SEPTICO_FOCO_CUTANEO,1,0.005
CHQUE_SEPTICO,1,0.005
INSUFICIENCIA_HEPATICA,1,0.005
