categoria,absoluta,relativa,diagnosticos
Doenças respiratórias,59,0.28780487804878047,PNEUMONIA_NE; PNEUMONIA; DPOC_EXACERBADO; INSUFICIENCIA_RESPIRATORIA_AGUDA; DISPNEIA
Doenças neurológicas,21,0.1024390243902439,ACIDENTE_VASCULAR_CEREBRAL_ISQUEMICO; ACIDENTE_VASCULAR_CEREBRAL_NE; ACIDENTE_VASCULAR_ENCEFALICO_NE; ACIDENTE_VASCULAR_CEREBRAL_NAOESPECIFICADO; AVC_ISQUEMICO
Sepse e choque séptico,37,0.18048780487804877,SEPTICEMIA; SEPSE; SEPTICEMIA_NE; SEPSE_FOCO_PULMONAR; CHOQUE_SEPTICO_NE
Doenças cardiovasculares,19,0.09268292682926829,INSUFICIENCIA_CARDIACA_DESCOMPENSADA; INSUFICIENCIA_CARDIACA_CONGESTIVA; CHOQUE_CARDIOGENICO; CHOQUE_CARDIOGÊNICO; EDEMA_AGUDO_DE_PULMAO
Doenças gastrointestinais/abdominais,20,0.0975609756097561,COLECISTITE_AGUDA; DOR_ABDOMINAL; DOR_ABDOMINAL ; ABDOME_AGUDO; PANCREATITE
Doenças renais e metabólicas,26,0.12682926829268293,CETOACIDOSE_DIABETICA; INSUFICIENCIA_RENAL_CRONICA; INSUFICIENCIA_RENAL_AGUDA; ACIDOSE_METABOLICA; DRC_AGUDIZADA
Infecções urinárias,4,0.01951219512195122,CISTITE_AGUDA; INFECCAO_TRATO_URINARIO; CISTITE AGUDA; PIELONEFRITE
Doenças hepáticas,8,0.03902439024390244,CIRROSE_HEPATICA_ALCOLICA; ENCEFALOPATIA_HEPATICA; COLANGITE; ICTERICIA_NE
Intoxicações exógenas,6,0.02926829268292683,INTOXICACAO_EXOGENA; INTOXICAÇÃO_EXOGENA; INTOXICAÇÃO_EXOGENA 
Outros,5,0.024390243902439025,INFECCAO_DE_PELE_PARTES_MOLES; HEMATURIA_NE; RETIRADA_DE_TRAQUEOSTOMIA; PNEUMOMIA_NE ; LEPTOSPIROSE
