valor,absoluta,relativa
SIM(RCP_NAO_REALIZADO),126,0.6176470588235294
NAO,22,0.10784313725490197
NAO ,13,0.06372549019607843
SIM(RCP_REALIZADO),13,0.06372549019607843
.,8,0.0392156862745098
SIM(RCP_NAO_REALIZADA),7,0.03431372549019608
SIM(RCP_NAO_REALIZADO,5,0.024509803921568627
NÃO,2,0.00980392156862745
SIM,2,0.00980392156862745
SIM (RCP_NAO_REALIZADO),1,0.004901960784313725
SIM ,1,0.004901960784313725
SIM(REALIZADO_RCP),1,0.004901960784313725
SIM(RETORNOU_OBITO_EM_SEGUIDA,1,0.004901960784313725
SIM(RCP_REALIZADA),1,0.004901960784313725
SIM(RCP_REALIZADO_RCE),1,0.004901960784313725
