feature,importance
escala_apache_ii,0.5283073532860426
cuidados_paliativos_SIM,0.22413236722517582
procedimento_cirurgico_SIM,0.08863660897412833
cuidados_paliativos_NAO,0.08092907775898671
comorbidades_SIM,0.03629134350231121
drogas_vasoativas_SIM,0.0296915122946932
ventilacao_mecanica_NAO,0.012011736958662193
comorbidades_NAO,0.0
ventilacao_mecanica_AA,0.0
transfusao_sanguinea_NAO,0.0
drogas_vasoativas_NAO,0.0
ventilacao_mecanica_SIM,0.0
ventilacao_mecanica_CN,0.0
procedimento_cirurgico_NAO,0.0
hemodialise_SIM,0.0
hemodialise_NAO,0.0
transfusao_sanguinea_SIM,0.0
